season,player,wickets,runs_conceded,bowling_avg,economy
2023,Kuldeep Yadav,10,366,36.6,36.6
2023,LH Ferguson,1,98,98.0,98.0
2023,LS Livingstone,2,94,47.0,47.0
2023,Lalit Yadav,2,120,60.0,60.0
2023,M Jansen,10,273,27.3,27.3
2023,M Markande,12,300,25.0,25.0
2023,M Pathirana,19,386,20.32,20.32
2023,M Theekshana,11,401,36.45,36.45
2023,MA Wood,11,142,12.91,12.91
2023,MG Bracewell,6,95,15.83,15.83
2023,MJ Santner,3,82,27.33,27.33
2023,MM Ali,9,198,22.0,22.0
2023,MM Sharma,27,362,13.41,13.41
2023,MP Stoinis,5,101,20.2,20.2
2023,MR Marsh,12,172,14.33,14.33
2023,Mayank Dagar,1,83,83.0,83.0
2023,Mohammed Shami,28,532,19.0,19.0
2023,Mohammed Siraj,19,395,20.79,20.79
2023,Mohsin Khan,3,111,37.0,37.0
2023,Mukesh Kumar,8,328,41.0,41.0
2023,Mustafizur Rahman,1,79,79.0,79.0
2023,N Rana,3,75,25.0,25.0
2023,NT Ellis,13,342,26.31,26.31
2023,Navdeep Saini,3,40,13.33,13.33
2023,Naveen-ul-Haq,11,227,20.64,20.64
2023,Noor Ahmad,16,375,23.44,23.44
2023,P Dubey,1,19,19.0,19.0
2023,PP Chawla,22,499,22.68,22.68
2023,PWH de Silva,9,259,28.78,28.78
2023,R Ashwin,14,370,26.43,26.43
2023,R Dhawan,1,64,64.0,64.0
2023,R Powell,1,18,18.0,18.0
2023,RA Jadeja,20,432,21.6,21.6
2023,RD Chahar,8,388,48.5,48.5
2023,RJW Topley,1,14,14.0,14.0
2023,RP Meredith,7,209,29.86,29.86
2023,RS Hangargekar,3,60,20.0,20.0
2023,Rashid Khan,27,557,20.63,20.63
2023,Ravi Bishnoi,16,394,24.62,24.62
2023,SM Curran,10,497,49.7,49.7
2023,SN Thakur,7,222,31.71,31.71
2023,SP Narine,11,389,35.36,35.36
2023,SSB Magala,1,52,52.0,52.0
2023,Sandeep Sharma,10,398,39.8,39.8
2023,Shahbaz Ahmed,1,95,95.0,95.0
2023,Sikandar Raza,3,124,41.33,41.33
2023,Suyash Sharma,10,330,33.0,33.0
2023,T Natarajan,10,416,41.6,41.6
2023,T Stubbs,1,14,14.0,14.0
2023,TA Boult,13,316,24.31,24.31
2023,TG Southee,2,79,39.5,39.5
2023,TU Deshpande,21,580,27.62,27.62
2023,UT Yadav,1,190,190.0,190.0
2023,Umran Malik,5,219,43.8,43.8
2023,VG Arora,5,149,29.8,29.8
2023,Vijaykumar Vyshak,9,253,28.11,28.11
2023,WD Parnell,9,237,26.33,26.33
2023,Washington Sundar,3,146,48.67,48.67
2023,YS Chahal,21,434,20.67,20.67
2023,Yash Dayal,2,165,82.5,82.5
2023,Yash Thakur,13,297,22.85,22.85
2023,Yudhvir Singh,3,73,24.33,24.33
2024,A Kamboj,2,115,57.5,57.5
2024,A Mishra,1,20,20.0,20.0
2024,A Nortje,7,298,42.57,42.57
2024,AD Russell,19,304,16.0,16.0
2024,AR Patel,11,340,30.91,30.91
2024,AS Joseph,1,123,123.0,123.0
2024,Abhishek Sharma,2,51,25.5,25.5
2024,Akash Deep,1,55,55.0,55.0
2024,Akash Madhwal,5,209,41.8,41.8
2024,Arshad Khan,1,90,90.0,90.0
2024,Arshdeep Singh,19,514,27.05,27.05
2024,Avesh Khan,19,533,28.05,28.05
2024,Azmatullah Omarzai,4,194,48.5,48.5
2024,B Kumar,11,555,50.45,50.45
2024,C Green,10,305,30.5,30.5
2024,CV Varun,21,411,19.57,19.57
2024,DG Nalkande,3,46,15.33,15.33
2024,DJ Mitchell,1,70,70.0,70.0
2024,DL Chahar,5,202,40.4,40.4
2024,G Coetzee,13,357,27.46,27.46
2024,GJ Maxwell,6,129,21.5,21.5
2024,HH Pandya,11,389,35.36,35.36
2024,HV Patel,24,485,20.21,20.21
2024,Harpreet Brar,7,309,44.14,44.14
2024,Harshit Rana,19,385,20.26,20.26
2024,I Sharma,10,266,26.6,26.6
2024,J Little,4,45,11.25,11.25
2024,JD Unadkat,8,321,40.12,40.12
2024,JJ Bumrah,20,341,17.05,17.05
2024,K Rabada,11,386,35.09,35.09
2024,KA Maharaj,2,39,19.5,19.5
2024,KH Pandya,6,258,43.0,43.0
2024,KK Ahmed,17,493,29.0,29.0
2024,KR Sen,6,127,21.17,21.17
2024,KT Maphaka,1,90,90.0,90.0
2024,KV Sharma,7,256,36.57,36.57
2024,Kuldeep Yadav,16,376,23.5,23.5
2024,L Wood,1,94,94.0,94.0
2024,LB Williams,1,74,74.0,74.0
2024,LH Ferguson,9,260,28.89,28.89
2024,LS Livingstone,3,86,28.67,28.67
2024,M Jansen,1,134,134.0,134.0
2024,M Markande,8,259,32.38,32.38
2024,M Pathirana,13,175,13.46,13.46
2024,M Siddharth,1,72,72.0,72.0
2024,M Theekshana,2,146,73.0,73.0
2024,MA Starc,17,450,26.47,26.47
2024,MJ Henry,1,112,112.0,112.0
2024,MJ Santner,2,64,32.0,32.0
2024,MM Ali,2,71,35.5,35.5
2024,MM Sharma,13,428,32.92,32.92
2024,MP Stoinis,4,127,31.75,31.75
2024,MP Yadav,7,88,12.57,12.57
2024,MR Marsh,1,103,103.0,103.0
2024,Mayank Dagar,1,122,122.0,122.0
2024,Mohammad Nabi,2,110,55.0,55.0
2024,Mohammed Siraj,15,507,33.8,33.8
2024,Mohsin Khan,10,385,38.5,38.5
2024,Mukesh Kumar,17,379,22.29,22.29
2024,Mustafizur Rahman,14,324,23.14,23.14
2024,N Burger,7,152,21.71,21.71
2024,N Thushara,8,259,32.38,32.38
2024,NT Ellis,1,24,24.0,24.0
2024,Naveen-ul-Haq,14,375,26.79,26.79
2024,Nithish Kumar Reddy,3,154,51.33,51.33
2024,Noor Ahmad,8,297,37.12,37.12
2024,PJ Cummins,18,571,31.72,31.72
2024,PP Chawla,13,312,24.0,24.0
2024,R Ashwin,9,469,52.11,52.11
2024,R Sai Kishore,7,137,19.57,19.57
2024,R Shepherd,1,162,162.0,162.0
2024,RA Jadeja,8,371,46.38,46.38
2024,RD Chahar,10,280,28.0,28.0
2024,RJ Gleeson,1,72,72.0,72.0
2024,RJW Topley,4,168,42.0,42.0
2024,Rashid Khan,10,372,37.2,37.2
2024,Rasikh Salam,9,271,30.11,30.11
2024,Ravi Bishnoi,10,384,38.4,38.4
2024,S Dube,1,14,14.0,14.0
2024,S Gopal,3,67,22.33,22.33
2024,S Sandeep Warrier,6,122,20.33,20.33
2024,SH Johnson,4,155,38.75,38.75
2024,SM Curran,16,422,26.38,26.38
2024,SN Thakur,5,315,63.0,63.0
2024,SP Narine,17,376,22.12,22.12
2024,Sandeep Sharma,13,314,24.15,24.15
2024,Shahbaz Ahmed,7,277,39.57,39.57
2024,Shashank Singh,1,5,5.0,5.0
2024,Simarjeet Singh,5,122,24.4,24.4
2024,Swapnil Singh,6,133,22.17,22.17
2024,T Natarajan,19,469,24.68,24.68
2024,T Stubbs,3,15,5.0,5.0
2024,TA Boult,16,448,28.0,28.0
2024,TU Deshpande,17,435,25.59,25.59
2024,UT Yadav,8,211,26.38,26.38
2024,V Kaverappa,2,36,18.0,18.0
2024,V Viyaskanth,1,90,90.0,90.0
2024,VG Arora,11,284,25.82,25.82
2024,Vijaykumar Vyshak,4,143,35.75,35.75
2024,WG Jacks,2,100,50.0,50.0
2024,Washington Sundar,1,73,73.0,73.0
2024,YS Chahal,18,548,30.44,30.44
2024,Yash Dayal,15,472,31.47,31.47
2024,Yash Thakur,11,405,36.82,36.82
2024,Yudhvir Singh,1,52,52.0,52.0
