season,player,wickets,runs_conceded,bowling_avg,economy
2019,M Prasidh Krishna,5,394,78.8,78.8
2019,MJ McClenaghan,3,143,47.67,47.67
2019,MJ Santner,4,94,23.5,23.5
2019,MM Ali,6,169,28.17,28.17
2019,MM Sharma,1,27,27.0,27.0
2019,MP Stoinis,2,147,73.5,73.5
2019,Mohammad Nabi,8,201,25.12,25.12
2019,Mohammed Shami,19,477,25.11,25.11
2019,Mohammed Siraj,7,271,38.71,38.71
2019,Mujeeb Ur Rahman,3,193,64.33,64.33
2019,N Rana,3,73,24.33,24.33
2019,Navdeep Saini,11,410,37.27,37.27
2019,O Thomas,5,85,17.0,17.0
2019,P Negi,3,103,34.33,34.33
2019,PP Chawla,10,405,40.5,40.5
2019,R Ashwin,15,400,26.67,26.67
2019,R Parag,2,121,60.5,60.5
2019,R Tewatia,2,42,21.0,21.0
2019,RA Jadeja,15,347,23.13,23.13
2019,RD Chahar,13,310,23.85,23.85
2019,Rashid Khan,17,396,23.29,23.29
2019,S Gopal,20,350,17.5,17.5
2019,S Kaul,6,243,40.5,40.5
2019,S Lamichhane,8,211,26.38,26.38
2019,S Nadeem,2,91,45.5,45.5
2019,S Sandeep Warrier,2,86,43.0,43.0
2019,SC Kuggeleijn,2,71,35.5,35.5
2019,SE Rutherford,1,60,60.0,60.0
2019,SL Malinga,16,452,28.25,28.25
2019,SM Curran,10,325,32.5,32.5
2019,SN Thakur,8,285,35.62,35.62
2019,SP Narine,10,353,35.3,35.3
2019,STR Binny,1,44,44.0,44.0
2019,Sandeep Sharma,12,355,29.58,29.58
2019,Shakib Al Hasan,2,95,47.5,47.5
2019,TA Boult,5,163,32.6,32.6
2019,TG Southee,1,123,123.0,123.0
2019,UT Yadav,8,375,46.88,46.88
2019,V Shankar,1,70,70.0,70.0
2019,VR Aaron,4,128,32.0,32.0
2019,Washington Sundar,4,75,18.75,18.75
2019,Y Prithvi Raj,1,57,57.0,57.0
2019,YS Chahal,18,394,21.89,21.89
2020/21,A Mishra,3,72,24.0,24.0
2020/21,A Nortje,22,529,24.05,24.05
2020/21,A Zampa,2,92,46.0,46.0
2020/21,AD Russell,6,178,29.67,29.67
2020/21,AJ Tye,1,54,54.0,54.0
2020/21,AR Patel,9,329,36.56,36.56
2020/21,AS Rajpoot,2,206,103.0,103.0
2020/21,Abdul Samad,1,96,96.0,96.0
2020/21,Abhishek Sharma,2,92,46.0,46.0
2020/21,Arshdeep Singh,9,219,24.33,24.33
2020/21,B Kumar,3,100,33.33,33.33
2020/21,BA Stokes,2,159,79.5,79.5
2020/21,Basil Thampi,1,46,46.0,46.0
2020/21,CH Morris,11,212,19.27,19.27
2020/21,CJ Jordan,9,320,35.56,35.56
2020/21,CV Varun,17,357,21.0,21.0
2020/21,DJ Bravo,6,180,30.0,30.0
2020/21,DL Chahar,12,402,33.5,33.5
2020/21,DW Steyn,1,134,134.0,134.0
2020/21,GJ Maxwell,3,171,57.0,57.0
2020/21,HV Patel,3,135,45.0,45.0
2020/21,I Udana,8,286,35.75,35.75
2020/21,Imran Tahir,1,78,78.0,78.0
2020/21,J Yadav,1,43,43.0,43.0
2020/21,JC Archer,20,373,18.65,18.65
2020/21,JD Unadkat,4,229,57.25,57.25
2020/21,JDS Neesham,2,149,74.5,74.5
2020/21,JJ Bumrah,29,436,15.03,15.03
2020/21,JL Pattinson,11,321,29.18,29.18
2020/21,JO Holder,14,239,17.07,17.07
2020/21,JR Hazlewood,1,72,72.0,72.0
2020/21,K Gowtham,1,84,84.0,84.0
2020/21,K Rabada,32,565,17.66,17.66
2020/21,KA Pollard,4,190,47.5,47.5
2020/21,KH Pandya,6,387,64.5,64.5
2020/21,KK Ahmed,8,245,30.62,30.62
2020/21,KL Nagarkoti,5,233,46.6,46.6
2020/21,KV Sharma,5,165,33.0,33.0
2020/21,Kartik Tyagi,9,372,41.33,41.33
2020/21,Kuldeep Yadav,1,95,95.0,95.0
2020/21,L Ngidi,9,169,18.78,18.78
2020/21,LH Ferguson,8,153,19.12,19.12
2020/21,M Ashwin,10,240,24.0,24.0
2020/21,M Prasidh Krishna,4,165,41.25,41.25
2020/21,MJ Santner,2,53,26.5,26.5
2020/21,MM Ali,1,42,42.0,42.0
2020/21,MM Sharma,1,45,45.0,45.0
2020/21,MP Stoinis,13,287,22.08,22.08
2020/21,Mohammed Shami,20,482,24.1,24.1
2020/21,Mohammed Siraj,11,244,22.18,22.18
2020/21,NM Coulter-Nile,5,206,41.2,41.2
2020/21,Navdeep Saini,7,392,56.0,56.0
2020/21,PJ Cummins,12,424,35.33,35.33
2020/21,PP Chawla,6,191,31.83,31.83
2020/21,R Ashwin,13,393,30.23,30.23
2020/21,R Tewatia,10,327,32.7,32.7
2020/21,RA Jadeja,6,318,53.0,53.0
2020/21,RD Chahar,15,439,29.27,29.27
2020/21,Rashid Khan,20,355,17.75,17.75
2020/21,Ravi Bishnoi,12,381,31.75,31.75
2020/21,S Dube,4,75,18.75,18.75
2020/21,S Gopal,10,429,42.9,42.9
2020/21,S Kaul,2,64,32.0,32.0
2020/21,S Nadeem,5,179,35.8,35.8
2020/21,SM Curran,13,348,26.77,26.77
2020/21,SN Thakur,10,279,27.9,27.9
2020/21,SP Narine,5,308,61.6,61.6
2020/21,SS Cottrell,6,177,29.5,29.5
2020/21,Sandeep Sharma,14,374,26.71,26.71
2020/21,Shahbaz Ahmed,2,45,22.5,22.5
2020/21,Shivam Mavi,9,214,23.78,23.78
2020/21,T Natarajan,16,520,32.5,32.5
2020/21,TA Boult,25,473,18.92,18.92
2020/21,TK Curran,3,210,70.0,70.0
2020/21,TU Deshpande,3,193,64.33,64.33
2020/21,V Shankar,4,82,20.5,20.5
2020/21,Washington Sundar,8,300,37.5,37.5
2020/21,YS Chahal,21,414,19.71,19.71
2021,A Mishra,6,109,18.17,18.17
2021,A Nortje,12,198,16.5,16.5
2021,AD Russell,11,189,17.18,17.18
2021,AF Milne,3,135,45.0,45.0
2021,AR Patel,15,315,21.0,21.0
2021,Abdul Samad,1,9,9.0,9.0
2021,Abhishek Sharma,4,66,16.5,16.5
2021,Arshdeep Singh,18,348,19.33,19.33
2021,Avesh Khan,24,466,19.42,19.42
2021,B Kumar,6,337,56.17,56.17
2021,C Sakariya,14,434,31.0,31.0
2021,CH Morris,15,396,26.4,26.4
2021,CJ Jordan,4,103,25.75,25.75
2021,CR Woakes,5,85,17.0,17.0
2021,CV Varun,18,456,25.33,25.33
2021,DJ Bravo,14,264,18.86,18.86
2021,DJ Hooda,2,136,68.0,68.0
2021,DL Chahar,14,453,32.36,32.36
2021,DR Sams,1,39,39.0,39.0
2021,DT Christian,4,156,39.0,39.0
2021,FA Allen,1,90,90.0,90.0
2021,GD Phillips,1,20,20.0,20.0
2021,GHS Garton,3,136,45.33,45.33
2021,GJ Maxwell,3,135,45.0,45.0
2021,HV Patel,32,461,14.41,14.41
2021,Harpreet Brar,5,142,28.4,28.4
2021,I Sharma,1,98,98.0,98.0
2021,IC Porel,1,42,42.0,42.0
2021,Imran Tahir,2,16,8.0,8.0
2021,J Yadav,2,131,65.5,65.5
2021,JA Richardson,3,122,40.67,40.67
2021,JD Unadkat,4,168,42.0,42.0
2021,JDS Neesham,5,68,13.6,13.6
2021,JJ Bumrah,21,422,20.1,20.1
2021,JO Holder,16,248,15.5,15.5
2021,JR Hazlewood,11,302,27.45,27.45
2021,K Rabada,15,464,30.93,30.93
2021,KA Jamieson,9,271,30.11,30.11
2021,KA Pollard,5,95,19.0,19.0
2021,KH Pandya,5,267,53.4,53.4
2021,KK Ahmed,5,225,45.0,45.0
2021,KM Asif,1,18,18.0,18.0
2021,KW Richardson,1,29,29.0,29.0
2021,Kartik Tyagi,4,125,31.25,31.25
2021,L Ngidi,5,129,25.8,25.8
2021,LH Ferguson,13,226,17.38,17.38
2021,LI Meriwala,1,32,32.0,32.0
2021,Lalit Yadav,4,101,25.25,25.25
2021,M Ashwin,1,100,100.0,100.0
2021,M Jansen,2,47,23.5,23.5
2021,M Prasidh Krishna,12,357,29.75,29.75
2021,MC Henriques,4,47,11.75,11.75
2021,MK Lomror,1,47,47.0,47.0
2021,MM Ali,6,163,27.17,27.17
2021,MP Stoinis,2,124,62.0,62.0
2021,Mohammad Nabi,2,86,43.0,43.0
2021,Mohammed Shami,19,400,21.05,21.05
2021,Mohammed Siraj,11,366,33.27,33.27
2021,Mujeeb Ur Rahman,2,30,15.0,15.0
2021,Mustafizur Rahman,14,448,32.0,32.0
2021,NM Coulter-Nile,7,131,18.71,18.71
2021,NT Ellis,1,91,91.0,91.0
2021,PJ Cummins,9,237,26.33,26.33
2021,PP Chawla,1,38,38.0,38.0
2021,R Ashwin,7,334,47.71,47.71
2021,R Parag,1,73,73.0,73.0
2021,R Tewatia,8,342,42.75,42.75
2021,RA Jadeja,13,347,26.69,26.69
2021,RD Chahar,13,324,24.92,24.92
2021,RP Meredith,4,171,42.75,42.75
2021,Rashid Khan,18,398,22.11,22.11
2021,Ravi Bishnoi,12,240,20.0,20.0
2021,S Kaul,7,253,36.14,36.14
2021,S Nadeem,1,36,36.0,36.0
2021,SM Curran,9,332,36.89,36.89
2021,SN Thakur,21,531,25.29,25.29
2021,SP Narine,16,369,23.06,23.06
2021,Sandeep Sharma,3,204,68.0,68.0
2021,Shahbaz Ahmed,7,92,13.14,13.14
2021,Shakib Al Hasan,4,188,47.0,47.0
2021,Shivam Mavi,11,242,22.0,22.0
2021,T Natarajan,2,70,35.0,35.0
2021,TA Boult,13,409,31.46,31.46
2021,TG Southee,3,95,31.67,31.67
2021,TK Curran,4,104,26.0,26.0
2021,Umran Malik,2,96,48.0,48.0
2021,V Shankar,3,100,33.33,33.33
2021,VR Iyer,3,71,23.67,23.67
2021,Washington Sundar,3,119,39.67,39.67
2021,YS Chahal,18,381,21.17,21.17
2022,A Badoni,2,12,6.0,6.0
2022,A Nortje,9,219,24.33,24.33
2022,AD Russell,17,282,16.59,16.59
2022,AJ Tye,2,113,56.5,56.5
2022,AK Markram,1,64,64.0,64.0
2022,AR Patel,6,323,53.83,53.83
2022,AS Joseph,7,269,38.43,38.43
2022,AS Roy,1,55,55.0,55.0
2022,Akash Deep,5,206,41.2,41.2
2022,Arshdeep Singh,10,402,40.2,40.2
2022,Avesh Khan,19,423,22.26,22.26
2022,B Kumar,12,394,32.83,32.83
2022,Basil Thampi,5,158,31.6,31.6
2022,C Sakariya,3,87,29.0,29.0
2022,CJ Jordan,2,136,68.0,68.0
2022,CV Varun,6,338,56.33,56.33
2022,D Brevis,1,8,8.0,8.0
2022,D Pretorius,6,213,35.5,35.5
2022,DG Nalkande,2,59,29.5,29.5
2022,DJ Bravo,16,303,18.94,18.94
2022,DJ Hooda,1,43,43.0,43.0
2022,DJ Willey,1,75,75.0,75.0
2022,DR Sams,13,375,28.85,28.85
2022,FA Allen,1,46,46.0,46.0
2022,Fazalhaq Farooqi,2,110,55.0,55.0
2022,GJ Maxwell,6,166,27.67,27.67
2022,HH Pandya,8,226,28.25,28.25
2022,HR Shokeen,2,130,65.0,65.0
2022,HV Patel,19,421,22.16,22.16
2022,Harpreet Brar,4,148,37.0,37.0
2022,Harshit Rana,1,52,52.0,52.0
2022,J Suchith,7,141,20.14,20.14
2022,JD Unadkat,6,191,31.83,31.83
2022,JJ Bumrah,15,392,26.13,26.13
2022,JO Holder,14,399,28.5,28.5
2022,JR Hazlewood,20,380,19.0,19.0
2022,K Gowtham,5,101,20.2,20.2
2022,K Kartikeya,5,103,20.6,20.6
2022,K Rabada,23,414,18.0,18.0
2022,KA Pollard,4,130,32.5,32.5
2022,KH Pandya,10,269,26.9,26.9
2022,KK Ahmed,16,315,19.69,19.69
2022,KR Sen,8,240,30.0,30.0
2022,Kartik Tyagi,1,79,79.0,79.0
2022,Kuldeep Yadav,21,420,20.0,20.0
2022,LH Ferguson,12,433,36.08,36.08
2022,LS Livingstone,6,202,33.67,33.67
2022,Lalit Yadav,4,152,38.0,38.0
2022,M Ashwin,9,233,25.89,25.89
2022,M Jansen,7,278,39.71,39.71
2022,M Markande,1,61,61.0,61.0
2022,M Pathirana,2,56,28.0,28.0
2022,M Prasidh Krishna,19,564,29.68,29.68
2022,M Theekshana,12,267,22.25,22.25
2022,MJ Santner,4,135,33.75,33.75
2022,MM Ali,8,159,19.88,19.88
2022,MP Stoinis,4,79,19.75,19.75
2022,MR Marsh,4,102,25.5,25.5
2022,Mohammed Shami,20,491,24.55,24.55
2022,Mohammed Siraj,9,525,58.33,58.33
2022,Mohsin Khan,14,202,14.43,14.43
2022,Mukesh Choudhary,16,425,26.56,26.56
2022,Mustafizur Rahman,8,248,31.0,31.0
2022,NT Ellis,3,57,19.0,19.0
2022,Navdeep Saini,3,73,24.33,24.33
2022,OC McCoy,11,242,22.0,22.0
2022,OF Smith,6,179,29.83,29.83
2022,PH Solanki,2,39,19.5,19.5
2022,PJ Cummins,7,219,31.29,31.29
2022,PJ Sangwan,3,66,22.0,22.0
2022,PVD Chameera,9,393,43.67,43.67
2022,PWH de Silva,26,439,16.88,16.88
2022,R Ashwin,12,506,42.17,42.17
2022,R Dhawan,6,164,27.33,27.33
2022,R Parag,1,59,59.0,59.0
2022,R Sai Kishore,6,122,20.33,20.33
2022,R Shepherd,3,98,32.67,32.67
2022,RA Jadeja,5,252,50.4,50.4
2022,RD Chahar,14,365,26.07,26.07
2022,RP Meredith,8,241,30.12,30.12
2022,Ramandeep Singh,6,55,9.17,9.17
2022,Rashid Khan,19,428,22.53,22.53
2022,Ravi Bishnoi,13,462,35.54,35.54
2022,S Gopal,1,34,34.0,34.0
2022,SA Abbott,1,47,47.0,47.0
2022,SN Thakur,15,485,32.33,32.33
2022,SP Narine,9,319,35.44,35.44
2022,Sandeep Sharma,2,156,78.0,78.0
2022,Shahbaz Ahmed,4,341,85.25,85.25
2022,Shivam Mavi,5,229,45.8,45.8
2022,Simarjeet Singh,4,143,35.75,35.75
2022,T Natarajan,18,410,22.78,22.78
2022,TA Boult,16,501,31.31,31.31
2022,TG Southee,14,284,20.29,20.29
2022,TS Mills,6,192,32.0,32.0
2022,TU Deshpande,1,67,67.0,67.0
2022,UT Yadav,16,354,22.12,22.12
2022,Umran Malik,22,455,20.68,20.68
2022,VG Arora,3,165,55.0,55.0
2022,VR Aaron,2,53,26.5,26.5
2022,Washington Sundar,6,239,39.83,39.83
2022,YS Chahal,27,536,19.85,19.85
2022,Yash Dayal,11,296,26.91,26.91
2023,A Mishra,7,151,21.57,21.57
2023,A Nortje,10,370,37.0,37.0
2023,A Zampa,8,189,23.62,23.62
2023,AD Russell,7,173,24.71,24.71
2023,AJ Hosein,1,41,41.0,41.0
2023,AK Markram,1,71,71.0,71.0
2023,AR Patel,11,344,31.27,31.27
2023,AS Joseph,7,226,32.29,32.29
2023,AS Roy,3,65,21.67,21.67
2023,AU Rashid,2,56,28.0,28.0
2023,Abhishek Sharma,2,127,63.5,63.5
2023,Akash Deep,1,63,63.0,63.0
2023,Akash Madhwal,15,222,14.8,14.8
2023,Akash Singh,5,188,37.6,37.6
2023,Arjun Tendulkar,3,95,31.67,31.67
2023,Arshad Khan,5,192,38.4,38.4
2023,Arshdeep Singh,17,497,29.24,29.24
2023,Avesh Khan,8,287,35.88,35.88
2023,B Kumar,16,432,27.0,27.0
2023,C Green,6,370,61.67,61.67
2023,C Sakariya,3,89,29.67,29.67
2023,CJ Jordan,3,241,80.33,80.33
2023,CV Varun,20,445,22.25,22.25
2023,D Jansen,1,53,53.0,53.0
2023,DG Nalkande,1,45,45.0,45.0
2023,DJ Willey,3,106,35.33,35.33
2023,DL Chahar,13,302,23.23,23.23
2023,Fazalhaq Farooqi,4,119,29.75,29.75
2023,GD Phillips,1,20,20.0,20.0
2023,GJ Maxwell,3,95,31.67,31.67
2023,HH Pandya,3,241,80.33,80.33
2023,HR Shokeen,3,190,63.33,63.33
2023,HV Patel,14,468,33.43,33.43
2023,Harpreet Brar,9,219,24.33,24.33
2023,Harshit Rana,5,153,30.6,30.6
2023,I Sharma,10,210,21.0,21.0
2023,J Little,7,296,42.29,42.29
2023,JC Archer,2,202,101.0,101.0
2023,JO Holder,4,290,72.5,72.5
2023,JP Behrendorff,14,395,28.21,28.21
2023,JR Hazlewood,3,76,25.33,25.33
2023,K Gowtham,3,118,39.33,39.33
2023,K Kartikeya,5,231,46.2,46.2
2023,K Khejroliya,2,64,32.0,32.0
2023,K Rabada,7,243,34.71,34.71
2023,K Yadav,2,68,34.0,34.0
2023,KH Pandya,9,320,35.56,35.56
2023,KK Ahmed,9,309,34.33,34.33
2023,KM Asif,3,139,46.33,46.33
2023,KV Sharma,10,229,22.9,22.9
2023,Kartik Tyagi,1,92,92.0,92.0
